model_name                                                     model_display_name
event.tag.category                                             Event Tag Category
event.type                                                     Event Template
event.type.ticket                                              Event Template Ticket
event.event.ticket                                             Event Ticket
event.track.location                                           Event Track Location
event.track.stage                                              Event Track Stage
event.track.tag                                                Event Track Tag
event.track.tag.category                                       Event Track Tag Category
hr.expense.approve.duplicate                                   Expense Approve Duplicate
hr.expense.refuse.wizard                                       Expense Refuse Reason Wizard
hr.expense.split                                               Expense Split
hr.expense.split.wizard                                        Expense Split Wizard
account_reports.export.wizard.format                           Export format for accounting's reports
account_reports.export.wizard                                  Export wizard for accounting's reports
ir.exports                                                     Exports
ir.exports.line                                                Exports Line
account.invoice_extract.words                                  Extracted words from invoice scan
report.project.task.user.fsm                                   FSM Tasks Analysis
account.edi.xml.cii                                            Factur-x/XRechnung CII 2.2.0
knowledge.article.favorite                                     Favorite Article
ir.model.fields                                                Fields
ir.fields.converter                                            Fields Converter
ir.model.fields.selection                                      Fields Selection
crm.lead.scoring.frequency.field                               Fields that can be used for predictive lead scoring computation
sign.item                                                      Fields to be sign on Document
ir.binary                                                      File streaming helper model for controllers
ir.filters                                                     Filters
account.fiscal.position                                        Fiscal Position
account.fiscal.year                                            Fiscal Year
account_followup.followup.line                                 Follow-up Criteria
account.followup.report                                        Follow-up Report
snailmail.letter.format.error                                  Format Error Sending a Snailmail Letter
account.full.reconcile                                         Full Reconcile
account.general.ledger.report.handler                          General Ledger Custom Handler
payment.link.wizard                                            Generate Sales Payment Link
generate.simulation.link                                       Generate Simulation Link
stock.generate.serial                                          Generate serial number from a pattern
account.generic.tax.report.handler                             Generic Tax Report Custom Handler
account.generic.tax.report.handler.account.tax                 Generic Tax Report Custom Handler (Account -> Tax)
account.generic.tax.report.handler.tax.account                 Generic Tax Report Custom Handler (Tax -> Account)
base.geocoder                                                  Geo Coder
base.geo_provider                                              Geo Provider
crm.lead.lost                                                  Get Lost Reason
applicant.get.refuse.reason                                    Get Refuse Reason
appointment.onboarding.link                                    Get a link to an appointment type during the onboarding
report.account.report_hash_integrity                           Get hash integrity result as PDF.
google.gmail.mixin                                             Google Gmail Mixin
portal.wizard                                                  Grant Portal Access
report.sign.green_savings_report                               Green Savings Report model
spreadsheet.dashboard.group                                    Group of dashboards
mail.guest                                                     Guest
hr.holidays.summary.employee                                   HR Time Off Summary Report By Employee
ir.http                                                        HTTP Routing
helpdesk.sla                                                   Helpdesk SLA Policies
helpdesk.stage                                                 Helpdesk Stage
helpdesk.stage.delete.wizard                                   Helpdesk Stage Delete Wizard
helpdesk.tag                                                   Helpdesk Tags
helpdesk.ticket.type                                           Helpdesk Ticket Type
crm.iap.lead.helpers                                           Helper methods for crm_iap_mine modules
report.hr_holidays.report_holidayssummary                      Holidays Summary Report
account.report.horizontal.group                                Horizontal group for reports
account.report.horizontal.group.rule                           Horizontal group rule for reports
iap.account                                                    IAP Account
iap.enrich.api                                                 IAP Lead Enrichment API
iap.autocomplete.api                                           IAP Partner Autocomplete API
mail.ice.server                                                ICE server
image.mixin                                                    Image Mixin
stock.immediate.transfer                                       Immediate Transfer
stock.immediate.transfer.line                                  Immediate Transfer Line
base.import.module                                             Import Module
stock.import.lot                                               Import lots or serial numbers to create stock move lines
fetchmail.server                                               Incoming Mail Server
account.incoterms                                              Incoterms
res.partner.industry                                           Industry
base.language.install                                          Install Language
stock.inventory.adjustment.name                                Inventory Adjustment Reference / Reason
stock.inventory.warning                                        Inventory Adjustment Warning
stock.location                                                 Inventory Locations
stock.route                                                    Inventory Routes
mail.wizard.invite                                             Invite wizard
account.invoice.report                                         Invoices Statistics
account.move.line                                              Journal Item
account.journal.report.handler                                 Journal Report Custom Handler
documents.account.folder.setting                               Journal and Folder settings
knowledge.cover                                                Knowledge Cover
knowledge.invite                                               Knowledge Invite Wizard
knowledge.article.stage                                        Knowledge Stage
base.language.export                                           Language Export
base.language.import                                           Language Import
res.lang                                                       Languages
crm.lead.scoring.frequency                                     Lead Scoring Frequency
crm.lead.convert2ticket                                        Lead convert to Ticket
mrp.consumption.warning.line                                   Line of issue consumption
bank.rec.widget.line                                           Line of the lines_widget
fsm.stock.tracking.line                                        Lines for FSM Stock Tracking
link.tracker                                                   Link Tracker
link.tracker.click                                             Link Tracker Click
link.tracker.code                                              Link Tracker Code
account.bank.selection                                         Link a bank account to the selected journal
discuss.channel.member                                         Listeners of a Channel
ir.logging                                                     Logging
report.mrp.report_mo_overview                                  MO Overview Report
report.mrp_account_enterprise.mrp_cost_structure               MRP Cost Structure Report
mrp.workcenter.productivity.loss.type                          MRP Workorder productivity losses
mail.bot                                                       Mail Bot
mail.composer.mixin                                            Mail Composer Mixin
mail.gateway.allowed                                           Mail Gateway Allowed
discuss.channel.rtc.session                                    Mail RTC session
mail.render.mixin                                              Mail Render Mixin
event.type.mail                                                Mail Scheduling on Event Category
ir.mail_server                                                 Mail Server
mail.template.reset                                            Mail Template Reset
mail.tracking.value                                            Mail Tracking Value
mailing.contact.import                                         Mailing Contact Import
mailing.filter                                                 Mailing Favorite Filters
mailing.list                                                   Mailing List
mailing.trace                                                  Mailing Statistics
mrp.report                                                     Manufacturing Report
mailing.trace.report                                           Mass Mailing Statistics
mailing.contact.subscription                                   Mass Mailing Subscription Information
ir.ui.menu                                                     Menu
mailing.list.merge                                             Merge Mass Mailing List
crm.merge.opportunity                                          Merge Opportunities
base.partner.merge.line                                        Merge Partner Line
base.partner.merge.automatic.wizard                            Merge Partner Wizard
hr_timesheet.merge.wizard                                      Merge Timesheets
mail.message                                                   Message
mail.notification                                              Message Notifications
mail.message.reaction                                          Message Reaction
mail.message.subtype                                           Message subtypes
stock.warehouse.orderpoint                                     Minimum Inventory Rule
ir.model.access                                                Model Access
ir.model.constraint                                            Model Constraint
ir.model.data                                                  Model Data
ir.model                                                       Models
asset.modify                                                   Modify Asset
ir.module.module                                               Module
base.module.install.request                                    Module Activation Request
base.module.install.review                                     Module Activation Review
report.base.report_irmodulereference                           Module Reference Report (base)
base.module.uninstall                                          Module Uninstall
ir.module.module.dependency                                    Module dependency
ir.module.module.exclusion                                     Module exclusion
website.multi.mixin                                            Multi Website Mixin
website.published.multi.mixin                                  Multi Website Published Mixin
account.multicurrency.revaluation.report.handler               Multicurrency Revaluation Report Custom Handler
account.multicurrency.revaluation.wizard                       Multicurrency Revaluation Wizard
onboarding.onboarding                                          Onboarding
